MLP Layer,Learning Rate,Dropout Rate,Ensemble Size,Best Epoch,Accuracy,AUROC,Avg Precision
"[120, 60, 20]",0.1,0.5,0,900,0.9007,0.868,0.6035
[40],0.1,0.5,0,1000,0.898,0.8498,0.5766
"[40, 40]",0.1,0.5,0,997,0.9025,0.8636,0.5988
"[60, 40]",0.1,0.5,0,785,0.9016,0.8592,0.5947
"[120, 60, 40]",0.1,0.5,0,636,0.9025,0.8683,0.6099
[20],0.1,0.6,0,999,0.8971,0.8415,0.5641
"[30, 20]",0.1,0.6,0,1000,0.8998,0.8554,0.5879
"[60, 20]",0.1,0.6,0,997,0.9003,0.8608,0.593
"[60, 60, 20]",0.1,0.6,0,942,0.8998,0.8654,0.6032
"[120, 60, 20]",0.1,0.6,0,887,0.9007,0.8682,0.6043
[40],0.1,0.6,0,998,0.8962,0.85,0.5788
"[40, 40]",0.1,0.6,0,999,0.903,0.86,0.5898
"[60, 40]",0.1,0.6,0,929,0.9016,0.8625,0.5966
"[120, 60, 40]",0.1,0.6,0,923,0.9025,0.8692,0.6057
[20],0.1,0.7,0,994,0.8948,0.8402,0.5646
"[30, 20]",0.1,0.7,0,995,0.8967,0.8526,0.57
"[60, 20]",0.1,0.7,0,999,0.8976,0.8581,0.5959
"[60, 60, 20]",0.1,0.7,0,999,0.9012,0.863,0.6025
"[120, 60, 20]",0.1,0.7,0,925,0.9016,0.8648,0.6078
[40],0.1,0.7,0,997,0.8958,0.8501,0.579
"[40, 40]",0.1,0.7,0,1000,0.8989,0.8578,0.5925
"[60, 40]",0.1,0.7,0,995,0.9012,0.8595,0.5934
"[120, 60, 40]",0.1,0.7,0,971,0.9007,0.8647,0.6084
[20],0.1,0.8,0,993,0.8917,0.834,0.5587
"[30, 20]",0.1,0.8,0,1000,0.8786,0.8421,0.5668
"[60, 20]",0.1,0.8,0,998,0.8885,0.8506,0.5798
"[60, 60, 20]",0.1,0.8,0,1000,0.8818,0.852,0.5886
"[120, 60, 20]",0.1,0.8,0,998,0.8849,0.8564,0.5922
[40],0.1,0.8,0,1000,0.8935,0.844,0.5689
"[40, 40]",0.1,0.8,0,994,0.8935,0.8502,0.5845
"[60, 40]",0.1,0.8,0,999,0.8949,0.8534,0.5851
"[120, 60, 40]",0.1,0.8,0,984,0.9007,0.8582,0.5968
[20],0.1,0.9,0,985,0.8822,0.8186,0.5409
"[30, 20]",0.1,0.9,0,999,0.8777,0.7946,0.5213
"[60, 20]",0.1,0.9,0,997,0.8777,0.8045,0.5274
"[60, 60, 20]",0.1,0.9,0,967,0.8777,0.7613,0.4958
"[120, 60, 20]",0.1,0.9,0,975,0.8777,0.7689,0.5012
[40],0.1,0.9,0,994,0.8899,0.8288,0.5481
"[40, 40]",0.1,0.9,0,989,0.8777,0.8066,0.5328
"[60, 40]",0.1,0.9,0,1000,0.8777,0.8081,0.5307
"[120, 60, 40]",0.1,0.9,0,760,0.8777,0.753,0.4909
[20],1.0,0.0,0,982,0.8949,0.8306,0.5513
"[30, 20]",1.0,0.0,0,993,0.9007,0.8637,0.5791
"[60, 20]",1.0,0.0,0,894,0.9016,0.8688,0.5757
"[60, 60, 20]",1.0,0.0,0,609,0.9003,0.8682,0.5705
"[120, 60, 20]",1.0,0.0,0,273,0.8985,0.8542,0.5753
[40],1.0,0.0,0,927,0.8958,0.8413,0.565
"[40, 40]",1.0,0.0,0,821,0.9034,0.8621,0.5756
"[60, 40]",1.0,0.0,0,463,0.8962,0.8494,0.5727
"[120, 60, 40]",1.0,0.0,0,290,0.9039,0.8643,0.5957
[20],1.0,0.1,0,999,0.8958,0.8313,0.5545
"[30, 20]",1.0,0.1,0,1000,0.9021,0.8631,0.5873
"[60, 20]",1.0,0.1,0,867,0.9039,0.8587,0.5739
"[60, 60, 20]",1.0,0.1,0,459,0.9025,0.8598,0.5829
"[120, 60, 20]",1.0,0.1,0,330,0.9039,0.8623,0.5983
[40],1.0,0.1,0,999,0.8985,0.8449,0.5716
"[40, 40]",1.0,0.1,0,737,0.9025,0.8607,0.5786
"[60, 40]",1.0,0.1,0,540,0.9003,0.856,0.5891
"[120, 60, 40]",1.0,0.1,0,367,0.9007,0.8706,0.6041
[20],1.0,0.2,0,999,0.8949,0.8344,0.5574
"[30, 20]",1.0,0.2,0,1000,0.9003,0.8641,0.5885
"[60, 20]",1.0,0.2,0,709,0.9003,0.8531,0.5733
"[60, 60, 20]",1.0,0.2,0,572,0.8994,0.8672,0.5958
"[120, 60, 20]",1.0,0.2,0,315,0.9039,0.8593,0.595
[40],1.0,0.2,0,999,0.8976,0.8461,0.5696
"[40, 40]",1.0,0.2,0,701,0.8998,0.8602,0.5948
"[60, 40]",1.0,0.2,0,697,0.9021,0.8608,0.5706
"[120, 60, 40]",1.0,0.2,0,425,0.9021,0.8697,0.6018
[20],1.0,0.3,0,996,0.8953,0.8384,0.5628
"[30, 20]",1.0,0.3,0,996,0.9026,0.8605,0.5729
